id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để xử lý và khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in the context regarding the SLA for ticket P1, including both the initial response time and the resolution time.",5,The answer directly and completely addresses the question by providing the specific SLA time for handling P1 tickets.,5,Retrieved: 1/1 expected sources,5,The model answer accurately covers both key points of the expected answer: the initial response time of 15 minutes and the resolution time of 4 hours.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer is completely grounded in the context, accurately stating that customers can request a refund within 7 working days from the order confirmation.",5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points in the expected answer without missing any details.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for Level 3 access as stated in the context, including the necessary approvals.",5,The answer directly and completely addresses the question by specifying who needs to approve the granting of Level 3 access.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the necessary approvals from Line Manager, IT Admin, and IT Security.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer accurately reflects the context regarding the non-refundable status of digital products and the exception for manufacturer defects, fully supported by the provided information.",5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,The model answer correctly states that digital products are non-refundable but misses the specific mention of the policy regarding exceptions and the types of digital products.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the context provided, accurately reflecting the information about account lockout after 5 failed login attempts and the methods to unlock it.",5,The answer directly and completely addresses the question by stating the specific number of failed login attempts that lead to account lockout.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the number of failed login attempts and additional information on unlocking the account.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as stated in the context, which specifies that escalation occurs automatically to a Senior Engineer if there is no response within 10 minutes of ticket creation.",5,"The answer directly and completely explains how escalation occurs in a P1 incident, including the specific time frame for escalation.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the automatic escalation to a Senior Engineer and the 10-minute time frame for response.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately identifies the document as the 'Approval Matrix for System Access,' which is directly supported by the provided context.",5,The answer directly and completely identifies the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,2,"The model answer provides the old name of the document but fails to mention the current name 'Access Control SOP', missing important information.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer is completely grounded in the context, accurately reflecting the conditions for remote work after the probation period and the requirement for Team Lead approval through the HR Portal.",5,The answer directly and completely addresses the question by stating the maximum number of remote days allowed per week and includes relevant conditions.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the maximum number of remote days, the probation period condition, and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer accurately reflects the lack of information in the provided context, which does not contain relevant data to address the question.",1,The answer does not address the question at all and states a lack of information.,,No expected sources (abstain question),3,"The model answer indicates a lack of information but does not mention the potential relation to authentication or the suggestion to contact IT Helpdesk, missing important details.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer claims there is insufficient data in the provided context, but the context contains specific procedures for escalation, refund requests, and leave requests, indicating that relevant information is available.",1,The answer does not address the question at all and simply states a lack of data.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the question and fails to provide any relevant information about the refund process for VIP customers.,baseline_dense
